TABLE_NAME	COLUMN_NAME	DATA_TYPE
affect	dwPID	int
affect	bType	smallint
affect	bApplyOn	tinyint
affect	lApplyValue	int
affect	dwFlag	int
affect	lDuration	int
affect	lSPCost	int
banword	word	varchar
guild	id	int
guild	name	varchar
guild	sp	smallint
guild	master	int
guild	level	tinyint
guild	exp	int
guild	skill_point	tinyint
guild	skill	tinyblob
guild	win	int
guild	draw	int
guild	loss	int
guild	ladder_point	int
guild	gold	bigint
guild	token	bigint
guild_comment	id	int
guild_comment	guild_id	int
guild_comment	name	varchar
guild_comment	notice	tinyint
guild_comment	content	varchar
guild_comment	time	datetime
guild_grade	guild_id	int
guild_grade	grade	tinyint
guild_grade	name	varchar
guild_grade	auth	set
guild_member	pid	int
guild_member	guild_id	int
guild_member	grade	tinyint
guild_member	is_general	tinyint
guild_member	offer	int
guild_war	id_from	int
guild_war	id_to	int
guild_war_bet	login	varchar
guild_war_bet	gold	bigint
guild_war_bet	guild	int
guild_war_bet	war_id	int
guild_war_reservation	id	int
guild_war_reservation	guild1	int
guild_war_reservation	guild2	int
guild_war_reservation	time	datetime
guild_war_reservation	type	tinyint
guild_war_reservation	warprice	int
guild_war_reservation	initscore	int
guild_war_reservation	started	tinyint
guild_war_reservation	bet_from	int
guild_war_reservation	bet_to	int
guild_war_reservation	winner	int
guild_war_reservation	power1	int
guild_war_reservation	power2	int
guild_war_reservation	handicap	int
guild_war_reservation	result1	int
guild_war_reservation	result2	int
horse_name	id	int
horse_name	name	varchar
ikashop_auction_offer	seller	int
ikashop_auction_offer	buyer	int
ikashop_auction_offer	buyer_name	varchar
ikashop_auction_offer	price	bigint
ikashop_auction_offer	datetime	datetime
ikashop_auction_offer	seen	tinyint
ikashop_notification	id	int
ikashop_notification	owner	int
ikashop_notification	type	int
ikashop_notification	who	varchar
ikashop_notification	what	int
ikashop_notification	format	varchar
ikashop_notification	seen	tinyint
ikashop_notification	datetime	datetime
ikashop_offlineshop	owner	int
ikashop_offlineshop	duration	int
ikashop_offlineshop	map	int
ikashop_offlineshop	x	int
ikashop_offlineshop	y	int
ikashop_offlineshop	decoration	int
ikashop_offlineshop	decoration_time	int
ikashop_offlineshop	lock_index	int
ikashop_private_offer	id	int
ikashop_private_offer	seller	int
ikashop_private_offer	buyer	int
ikashop_private_offer	item	int
ikashop_private_offer	price	bigint
ikashop_private_offer	notified	tinyint
ikashop_private_offer	accepted	tinyint
ikashop_private_offer	buyer_name	varchar
ikashop_private_offer	datetime	datetime
ikashop_safebox	owner	int
ikashop_safebox	gold	bigint
ikashop_safebox	cheque	int
ikashop_sale	id	int
ikashop_sale	vnum	int
ikashop_sale	count	int
ikashop_sale	price	bigint
ikashop_sale	datetime	datetime
item	id	int
item	owner_id	int
item	window	enum
item	pos	smallint
item	count	tinyint
item	vnum	int
item	socket0	int
item	socket1	int
item	socket2	int
item	attrtype0	tinyint
item	attrvalue0	smallint
item	attrtype1	tinyint
item	attrvalue1	smallint
item	attrtype2	tinyint
item	attrvalue2	smallint
item	attrtype3	tinyint
item	attrvalue3	smallint
item	attrtype4	tinyint
item	attrvalue4	smallint
item	attrtype5	tinyint
item	attrvalue5	smallint
item	attrtype6	tinyint
item	attrvalue6	smallint
item	ikashop_data	tinytext
item_attr	apply	enum
item_attr	prob	int
item_attr	lv1	int
item_attr	lv2	int
item_attr	lv3	int
item_attr	lv4	int
item_attr	lv5	int
item_attr	weapon	int
item_attr	body	int
item_attr	wrist	int
